image,question,answer
image2600,Is squamous cell carcinoma composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,yes
image2600,What is composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,squamous cell carcinoma
image2600,Is low magnification composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,no
image2601,Is section from margin of amoebic ulcer mild epithelial hyperplasia in terminal ducts?,no
image2601,Is there mild epithelial hyperplasia in terminal ducts?,yes
image2601,What is there in terminal ducts?,mild epithelial hyperplasia
image2602,Is a partly formed unerupted tooth also seen in the wall?,yes
image2602,What is also seen in the wall?,a partly formed unerupted tooth
image2602,Are collections of histiocytes conspicuously absent?,no
image2602,Are inflammatory changes conspicuously absent?,yes
image2602,Where is a partly formed unerupted tooth seen in?,wall
image2602,Is onsumption of tobacco in india also seen in the wall?,no
image2602,What are conspicuously absent?,inflammatory changes
image2603,What is composed of nests of basaloid cells infiltrating a fibrotic stroma?,the tumor
image2603,Is tumor composed of nests of basaloid cells infiltrating a fibrotic stroma?,yes
image2603,What is a highly characteristic artifact of sectioning?,the cleft between the tumor cells and the stroma
image2603,What is the cleft between the tumor cells and the stroma?,a highly characteristic artifact of sectioning
image2603,Is sectioning of ovary composed of nests of basaloid cells infiltrating a fibrotic stroma?,no
image2603,Is acute contusions a highly characteristic artifact of sectioning?,no
image2603,What is tumor composed of?,nests of basaloid cells
image2603,Is the cleft between the tumor cells and the stroma a highly characteristic artifact of sectioning?,yes
image2604,"Is the nuclei of affected tubules soft, lobulated, yellowish and greasy?",no
image2605,What does the centrilobular zone show?,marked degeneration and necrosis of hepatocytes accompanied by haemorrhage
image2605,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,yes
image2605,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,centrilobular zone
image2605,Does the vesselwall show mild fatty change of liver cells?,no
image2605,Does the peripheral zone show mild fatty change of liver cells?,yes
image2605,What does the peripheral zone show?,mild fatty change of liver cells
image2605,Does the periphery show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,no
image2605,What shows mild fatty change of liver cells?,the peripheral zone
image2606,Do the cells have features of both syncytial and fibroblastic type and form whorled appearance?,yes
image2606,What do some of the whorls contain?,psammoma bodies
image2606,What do the cells have?,features of both syncytial and fibroblastic type and form whorled appearance
image2606,Do the tips of dermal papillae have features of both syncytial and fibroblastic type and form whorled appearance?,no
image2606,Do a gaucher cell in bone marrow contain psammoma bodies?,no
image2606,Do some of the whorls contain psammoma bodies?,yes
image2606,What have features of both syncytial and fibroblastic type and form whorled appearance?,cells
image2606,What contain psammoma bodies?,some of the whorls
image2607,Is a fibrous capsule seen?,yes
image2607,Does a fibrous capsule surround the neoplastic follicles?,yes
image2607,Are the necrotic cells seen?,no
image2607,What surrounds the neoplastic follicles?,a fibrous capsule
image2607,Does high magnification surround the neoplastic follicles?,no
image2608,"What is identified by homogeneous, eosinophilic cytoplasm?",cell necrosis
image2608,What is cell necrosis identified by?,homogeneous
image2608,"Is cell necrosis identified by homogeneous, eosinophilic cytoplasm?",yes
image2608,"Is the cytoplasm identified by homogeneous, eosinophilic cytoplasm?",no
image2608,What consists of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,apoptosis 
image2608,Does Apoptosis consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,yes
image2608,Do these cells consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,no
image2609,"What are infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",the thickened alveolar walls
image2609,What are the thickened alveolar walls infiltrated with?,lymphocytes and some plasma cells
